JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Web Developer,Technology and Data,£33000,Birmingham,"['JavaScript', 'Python Programming', 'Django']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Corporate Finance Analyst,Finance and Business,£23000,Cambridge,"['Financial Forecasting', 'Financial Modeling', 'Excel']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Web Developer,Technology and Data,£35000,Manchester,"['Data Analysis', 'Data Visualisation', 'ETL']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Event Coordinator,Marketing and Creative,£27000,Bristol,"['PPC Advertising', 'Content Management Systems', 'Analytics']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Systems Analyst,Technology and Data,£22000,Birmingham,"['Cloud Computing', 'Version Control', 'Docker']",Evaluate and improve computer systems to enhance efficiency.
Mechanical Engineer,Engineering and Science,£26000,Birmingham,"['Mechanical Design', 'Lab Techniques', 'Technical Writing']","Design machinery and equipment, and troubleshoot engineering issues."
Systems Analyst,Technology and Data,£20000,Liverpool,"['Machine Learning', 'Problem Solving', 'ETL']",Evaluate and improve computer systems to enhance efficiency.
Business Development Executive,Finance and Business,£28000,Leeds,"['Reporting', 'Business Strategy', 'Budgeting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Event Coordinator,Marketing and Creative,£26000,Birmingham,"['Content Management Systems', 'Market Research', 'User Research']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Insurance Underwriter,Administrative,£24000,Nottingham,"['Leadership', 'Performance Appraisal Systems', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Teacher,Administrative,£26000,Newcastle,"['Performance Appraisal Systems', 'Office Management', 'Communication']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Quantity Surveyor,Engineering and Science,£24000,Birmingham,"['Problem Solving', 'Lab Techniques', 'Statistical Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
IT Support Specialist,Technology and Data,£22000,Birmingham,"['Problem Solving', 'JavaScript', 'SQL']",You will have to provide technical support and troubleshooting for hardware and software issues.
Research Scientist,Engineering and Science,£25000,Nottingham,"['Product Development', 'Lab Techniques', 'Project Management Software']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Recruitment Consultant,Administrative,£26000,Birmingham,"['Conflict Resolution', 'Compliance Management', 'Onboarding']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Sales Executive,Marketing and Creative,£30000,Leeds,"['Campaign Management', 'Digital Marketing', 'Content Management Systems']",Must be able to develop and execute sales strategies to meet business objectives.
Social Media Manager,Marketing and Creative,£28000,Nottingham,"['Graphic Design', 'Content Management Systems', 'Google Analytics']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Electrical Engineer,Engineering and Science,£32000,London,"['Project Management Software', 'Simulation Software', 'CAD Software']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Legal Assistant,Administrative,£33000,Leeds,"['HR Information Systems', 'Performance Appraisal Systems', 'Organisational Skills']",Provide administrative support to legal teams and assist with legal research and document preparation
Web Developer,Technology and Data,£22000,Newcastle,"['Cloud Computing', 'ETL', 'APIs']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Biomedical Scientist,Engineering and Science,£27000,London,"['Data Analysis', 'CAD Software', 'Engineering Design']",Conduct research and analyse biological samples to support medical and clinical studies.
