JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Civil Engineer,Engineering and Science,£21000,Liverpool,"['Lab Techniques', 'CAD Software', 'Research Methodology']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Business Analyst,Finance and Business,£32000,Liverpool,"['Quantitative Analysis', 'Bookkeeping', 'Excel']",Identify business needs and develop solutions to enhance processes and operations.
Operations Manager,Finance and Business,£21000,Bristol,"['Financial Reporting', 'Budgeting', 'Financial Analysis']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Biomedical Scientist,Engineering and Science,£31000,London,"['CAD Software', 'Lab Techniques', 'Simulation Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Financial Analyst,Finance and Business,£22000,Nottingham,"['Reporting', 'Business Strategy', 'Financial Modeling']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Management Consultant,Administrative,£26000,Cambridge,"['Payroll Management', 'Leadership', 'Office Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Audit Associate,Finance and Business,£31000,Liverpool,"['Budgeting', 'Financial Forecasting', 'Financial Modeling']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Systems Analyst,Technology and Data,£20000,Birmingham,"['SQL', 'Data Warehousing', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Electrical Engineer,Engineering and Science,£30000,Nottingham,"['Research Methodology', 'Simulation Software', 'Statistical Analysis']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Systems Analyst,Technology and Data,£31000,Birmingham,"['Docker', 'Django', 'APIs']",Evaluate and improve computer systems to enhance efficiency.
Engineering Graduate,Engineering and Science,£33000,Cambridge,"['Regulatory Compliance', 'Research Methodology', 'Statistical Analysis']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Corporate Finance Analyst,Finance and Business,£31000,Bristol,"['Reporting', 'Excel', 'Financial Analysis']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Web Developer,Technology and Data,£21000,London,"['Machine Learning', 'SQL', 'Problem Solving']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Operations Manager,Finance and Business,£26000,Manchester,"['Financial Reporting', 'Risk Assessment', 'Financial Forecasting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Financial Analyst,Finance and Business,£25000,Cambridge,"['Risk Assessment', 'Quantitative Analysis', 'Project Management']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Business Development Executive,Finance and Business,£23000,Birmingham,"['Excel', 'Reporting', 'Market Research']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Mechanical Engineer,Engineering and Science,£33000,London,"['Prototyping', 'Research Methodology', 'Statistical Analysis']","Design machinery and equipment, and troubleshoot engineering issues."
Event Coordinator,Marketing and Creative,£22000,Leeds,"['Content Creation', 'Google Analytics', 'Email Marketing']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
IT Support Specialist,Technology and Data,£21000,Leeds,"['ETL', 'Problem Solving', 'SQL']",You will have to provide technical support and troubleshooting for hardware and software issues.
