JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Operations Manager,Finance and Business,£30000,Birmingham,"['Quantitative Analysis', 'Financial Analysis', 'Bookkeeping']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Management Consultant,Administrative,£24000,Newcastle,"['Client Management', 'Employee Relations', 'Organisational Skills']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Business Analyst,Finance and Business,£26000,Sheffield,"['Financial Forecasting', 'Financial Reporting', 'Risk Assessment']",Identify business needs and develop solutions to enhance processes and operations.
Technical Support Engineer,Technology and Data,£30000,London,"['Docker', 'APIs', 'Problem Solving']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Systems Analyst,Technology and Data,£26000,Newcastle,"['Data Analysis', 'Problem Solving', 'Docker']",Evaluate and improve computer systems to enhance efficiency.
Health and Safety Advisor,Engineering and Science,£23000,Bristol,"['Mechanical Design', 'CAD Software', 'Product Development']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Customer Service Manager,Administrative,£30000,Manchester,"['Employee Relations', 'Recruitment', 'Payroll Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Event Coordinator,Marketing and Creative,£30000,Liverpool,"['Adobe Creative Suite', 'Content Management Systems', 'Digital Marketing']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Systems Analyst,Technology and Data,£27000,Sheffield,"['Machine Learning', 'Django', 'APIs']",Evaluate and improve computer systems to enhance efficiency.
Web Developer,Technology and Data,£25000,Liverpool,"['Version Control', 'Cloud Computing', 'Big Data Technologies']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Financial Analyst,Finance and Business,£27000,Bristol,"['Quantitative Analysis', 'Budgeting', 'Risk Assessment']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Insurance Underwriter,Administrative,£34000,London,"['Training and Development', 'HR Information Systems', 'Payroll Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Public Relations Officer,Marketing and Creative,£32000,Manchester,"['Content Creation', 'Email Marketing', 'Graphic Design']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
UI Designer,Technology and Data,£33000,Birmingham,"['Python Programming', 'JavaScript', 'Big Data Technologies']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Graphic Designer,Marketing and Creative,£24000,Manchester,"['Digital Marketing', 'User Research', 'Adobe Creative Suite']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Logistics Coordinator,Administrative,£31000,Newcastle,"['Leadership', 'Employee Relations', 'Talent Acquisition']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Social Media Manager,Marketing and Creative,£24000,Leeds,"['Market Research', 'Adobe Creative Suite', 'User Research']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Social Media Manager,Marketing and Creative,£21000,Leeds,"['Adobe Creative Suite', 'Graphic Design', 'User Research']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Mechanical Engineer,Engineering and Science,£33000,Manchester,"['Finite Element Analysis', 'Lab Techniques', 'Mechanical Design']","Design machinery and equipment, and troubleshoot engineering issues."
Research Scientist,Engineering and Science,£30000,Liverpool,"['Data Analysis', 'Lab Techniques', 'Prototyping']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Business Development Executive,Finance and Business,£22000,Newcastle,"['Regulatory Compliance', 'Financial Forecasting', 'Budgeting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Data Analyst,Technology and Data,£35000,Manchester,"['Python Programming', 'Version Control', 'ETL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Nurse,Administrative,£26000,Birmingham,"['Client Management', 'Talent Acquisition', 'Office Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
