JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Social Media Manager,Marketing and Creative,£22000,Nottingham,"['Email Marketing', 'Digital Marketing', 'SEO Optimisation']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Product Designer,Marketing and Creative,£20000,Manchester,"['Google Analytics', 'Campaign Management', 'Brand Strategy']","Design and develop new products, from concept to production. You will work on product specifications and testing."
UI Designer,Technology and Data,£35000,London,"['Problem Solving', 'SQL', 'Cloud Computing']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
UI Designer,Technology and Data,£25000,Birmingham,"['Django', 'Data Analysis', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Supply Chain Analyst,Finance and Business,£31000,Nottingham,"['Regulatory Compliance', 'Bookkeeping', 'Financial Analysis']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Engineering Graduate,Engineering and Science,£22000,London,"['Data Analysis', 'Product Development', 'Prototyping']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Sales Executive,Marketing and Creative,£22000,Cambridge,"['Content Management Systems', 'Email Marketing', 'Market Research']",Must be able to develop and execute sales strategies to meet business objectives.
Digital Marketing Specialist,Marketing and Creative,£22000,Nottingham,"['SEO Optimisation', 'Brand Strategy', 'Graphic Design']","Implement digital marketing strategies, including SEO, PPC, and social media."
Legal Assistant,Administrative,£22000,Birmingham,"['Talent Acquisition', 'HR Information Systems', 'Onboarding']",Provide administrative support to legal teams and assist with legal research and document preparation
Recruitment Consultant,Administrative,£26000,Birmingham,"['Leadership', 'Conflict Resolution', 'HR Information Systems']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Data Scientist,Technology and Data,£27000,Birmingham,"['Data Visualisation', 'Django', 'SQL']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
UI Designer,Technology and Data,£23000,London,"['Docker', 'Data Analysis', 'Big Data Technologies']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Data Scientist,Technology and Data,£35000,Newcastle,"['Python Programming', 'SQL', 'Data Warehousing']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Software Developer,Technology and Data,£24000,Cambridge,"['Data Analysis', 'ETL', 'Data Visualisation']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Biomedical Scientist,Engineering and Science,£33000,Nottingham,"['Regulatory Compliance', 'CAD Software', 'Statistical Analysis']",Conduct research and analyse biological samples to support medical and clinical studies.
Electrical Engineer,Engineering and Science,£27000,Nottingham,"['Mechanical Design', 'Engineering Design', 'Project Management Software']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Financial Analyst,Finance and Business,£22000,Nottingham,"['Reporting', 'Risk Assessment', 'Financial Reporting']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
